 -0.0   16.8
  0.3   30.2
  0.5   43.8
  0.8   57.2
  1.0   70.8
  1.3   84.2
  1.5   97.8
  1.8  111.2
  2.0  124.8
  2.3  138.2
  2.5  151.8
  2.8  165.2
  3.0  178.8
  3.3  192.2
  3.5  205.8
  3.8  219.2
  4.0  232.8
  4.3  246.2
  4.5  259.8
  4.8  273.2
  5.0  286.8
  5.3  300.2
  5.5  313.8
  5.8  327.2
  6.0  340.8
  6.3  354.2
  6.5  367.8
  6.8  381.2
  7.0  394.8
  7.3  408.2
  7.5  421.8
  7.8  435.2
  8.0  448.8
  8.3  462.2
  8.5  475.8
  8.8  489.2
  9.0  502.8
  9.3  516.2
  9.5  529.8
  9.8  543.2
 10.0  685.0
 10.3  955.0
 10.5 1225.0
 10.8 1300.0
 11.0 1300.0
 11.3 1300.0
 11.5 1300.0
 11.8 1300.0
 12.0 1300.0
 12.3 1300.0
 12.5 1300.0
 12.8 1300.0
 13.0 1300.0
 13.3 1300.0
 13.5 1300.0
 13.8 1300.0
 14.0 1300.0
 14.3 1300.0
 14.5 1300.0
 14.8 1300.0
 15.0 1300.0
